date,open,high,low,close,volume
2025-01-02,100.00,100.30,99.80,100.10,80000
2025-01-03,100.10,100.40,100.00,100.20,82000
2025-01-06,100.20,100.50,100.10,100.40,79000
2025-01-07,100.40,100.50,100.10,100.30,81000
2025-01-08,100.30,100.40,100.00,100.10,85000
2025-02-03,100.20,100.50,100.10,100.40,78000
2025-02-04,100.40,100.70,100.30,100.60,84000
2025-02-05,100.60,100.70,100.30,100.50,86000
2025-02-06,100.50,100.60,100.10,100.20,88000
2025-02-07,100.20,100.50,100.10,100.40,83000
2025-03-03,100.40,100.50,100.10,100.20,90000
2025-03-04,100.20,100.30,99.90,100.00,92000
2025-03-05,100.00,100.40,99.90,100.30,89000
2025-03-06,100.30,100.60,100.20,100.50,87000
2025-03-07,100.50,100.60,100.20,100.40,91000
