date,open,high,low,close,volume
2025-01-02,100.00,101.20,99.60,100.80,120000
2025-01-03,100.90,102.10,100.40,101.70,125000
2025-01-06,101.60,102.00,100.20,100.70,118000
2025-01-07,100.60,101.50,99.90,101.20,121000
2025-01-08,101.30,103.00,101.00,102.60,130000
2025-02-03,102.50,103.20,101.80,102.10,117000
2025-02-04,102.00,102.40,100.70,101.00,128000
2025-02-05,101.10,102.80,100.90,102.40,133000
2025-02-06,102.50,104.10,102.20,103.80,140000
2025-02-07,103.70,104.00,102.50,102.90,136000
2025-03-03,103.00,104.60,102.80,104.20,145000
2025-03-04,104.10,105.30,103.70,104.90,150000
2025-03-05,104.80,105.00,103.10,103.50,147000
2025-03-06,103.40,104.20,102.60,103.90,142000
2025-03-07,104.00,106.00,103.80,105.60,155000
